nice: cannot set niceness: Permission denied
Precompiling packages...
   2050.4 ms  ✓ IteratorInterfaceExtensions
│   Handle type        uv_handle_t->data
│   timer              0x2c5801b0->0x73e72f86a590
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysSparseArraysExt
│  [pid 2679280] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x36849300->0x76ffef521db0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 598.46
	System time (seconds): 49.09
	Percent of CPU this job got: 285%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:46.61
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3784248
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 802
	Minor (reclaiming a frame) page faults: 12424093
	Voluntary context switches: 293718
	Involuntary context switches: 135286
	Swaps: 0
	File system inputs: 15032
	File system outputs: 2600880
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
